102530	http://purl.obolibrary.org/obo/HP_0012205	Globozoospermia	?Globozoospermia	Case 8: Found Mappings, No Match Detected
102700	http://purl.obolibrary.org/obo/DOID_5810	adenosine deaminase deficiency	Adenosine deaminase deficiency, partial	
102700	http://purl.obolibrary.org/obo/DOID_627	severe combined immunodeficiency	Severe combined immunodeficiency due to ADA deficiency	
103470	http://purl.obolibrary.org/obo/DOID_0050633	ocular albinism	Waardenburg syndrome/ocular albinism, digenic	
103470	http://purl.obolibrary.org/obo/DOID_9258	Waardenburg's syndrome	Waardenburg syndrome/ocular albinism, digenic	
104300	http://purl.obolibrary.org/obo/DOID_10652	Alzheimer's disease	Alzheimer disease 	
105150	http://purl.obolibrary.org/obo/DOID_9246	cerebral amyloid angiopathy	Cerebral amyloid angiopathy	
105500	http://purl.obolibrary.org/obo/DOID_1307	dementia	{Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to}	
105500	http://purl.obolibrary.org/obo/DOID_332	amyotrophic lateral sclerosis	{Amyotrophic lateral sclerosis-parkinsonism/dementia complex, susceptibility to}	
105550	http://purl.obolibrary.org/obo/DOID_332	amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis and/or frontotemporal dementia	
108010	http://purl.obolibrary.org/obo/HP_0002170	Intracranial hemorrhage	{Intracranial hemorrhage in brain cerebrovascular malformations, susceptibility to}	
108900	http://purl.obolibrary.org/obo/DOID_1882	atrial heart septal defect	Atrial septal defect 7, with or without AV conduction defects	
109730	http://purl.obolibrary.org/obo/DOID_62	aortic valve disease	AORTIC VALVE DISEASE	
112500	http://purl.obolibrary.org/obo/DOID_0050581	brachydactyly	Brachydactyly, type A1	
113900	http://purl.obolibrary.org/obo/HP_0001678	Atrioventricular block	Heart block, nonprogressive	
113900	http://purl.obolibrary.org/obo/HP_0001678	Atrioventricular block	Heart block, progressive, type IA	
115210	http://purl.obolibrary.org/obo/DOID_397	restrictive cardiomyopathy	Cardiomyopathy, familial restrictive	
115300	http://purl.obolibrary.org/obo/DOID_9969	carotenemia	Hypercarotenemia and vitamin A deficiency, autosomal dominant	
115700	http://purl.obolibrary.org/obo/DOID_83	cataract	Cataract 4, multiple types	Case 4b: Found Exact With Disease Annotator
115700	http://purl.obolibrary.org/obo/DOID_83	cataract	Cataract, crystalline aculeiform	
116200	http://purl.obolibrary.org/obo/DOID_83	cataract	Cataract 1, multiple types	Case 4b: Found Exact With Disease Annotator
116200	http://purl.obolibrary.org/obo/DOID_83	cataract	Cataract, zonular pulverulent-1	
116800	http://purl.obolibrary.org/obo/DOID_83	cataract	Cataract 5, multiple types	Case 4b: Found Exact With Disease Annotator
117300	http://purl.obolibrary.org/obo/DOID_1307	dementia	Dementia, familial Danish	
117360	http://purl.obolibrary.org/obo/DOID_1441	spinocerebellar ataxia	Spinocerebellar ataxia 29, congenital nonprogressive	
118600	http://purl.obolibrary.org/obo/DOID_1156	pseudogout	Chondrocalcinosis 2	
118700	http://purl.obolibrary.org/obo/HP_0002072	Chorea	Chorea, hereditary benign	
119900	http://purl.obolibrary.org/obo/HP_0001217	Clubbing	Digital clubbing, isolated congenital	Case 7b: Found Synonym With HP Annotator Synonym
121200	http://purl.obolibrary.org/obo/DOID_14264	benign neonatal seizures	Seizures, benign neonatal, 1	Case 8: Found Mappings, No Match Detected
121200	http://purl.obolibrary.org/obo/HP_0002411	Myokymia	Myokymia	Case 6a: Found Exact With HP Annotator
121201	http://purl.obolibrary.org/obo/DOID_14264	benign neonatal seizures	Seizures, benign neonatal, type 2	Case 8: Found Mappings, No Match Detected
121800	http://purl.obolibrary.org/obo/DOID_2566	corneal dystrophy	Corneal dystrophy, crystalline, of Schnyder	
