# MeSH entry terms as MONDO disease synonyms -- PRECOMPUTED, do not hand-edit.
# script: scripts/build_mesh_disease_synonyms.py
# built: 2026-08-15T02:02:39+00:00
# mesh: desc2026.gz (NLM, public domain)
# mondo: releases/2026-08-04
# join: MONDO-asserted only (obo MESH xref + sssom exactMatch); unambiguous only; disease branch (C*/F03)
# rows: 8158 over 2594 MONDO terms
mondo_uri	mondo_label	synonym	mesh_id
http://purl.obolibrary.org/obo/MONDO_0005974	strongyloidiasis	Strongyloidiases	MESH:D013322
http://purl.obolibrary.org/obo/MONDO_0005975	suppurative otitis media	Purulent Otitis Media	MESH:D010035
http://purl.obolibrary.org/obo/MONDO_0005976	syphilis	Great Pox	MESH:D013587
http://purl.obolibrary.org/obo/MONDO_0005977	tabes dorsalis	Tabes Spinalis	MESH:D013606
http://purl.obolibrary.org/obo/MONDO_0005977	tabes dorsalis	Tabetic Neurosyphilis	MESH:D013606
http://purl.obolibrary.org/obo/MONDO_0005978	theileriasis	Theileriases	MESH:D013801
http://purl.obolibrary.org/obo/MONDO_0005978	theileriasis	Theilerioses	MESH:D013801
http://purl.obolibrary.org/obo/MONDO_0005978	theileriasis	Theileriosis	MESH:D013801
http://purl.obolibrary.org/obo/MONDO_0005979	thoracic outlet syndrome	Superior Thoracic Aperture Syndrome	MESH:D013901
http://purl.obolibrary.org/obo/MONDO_0005979	thoracic outlet syndrome	Thoracic Outlet Neurovascular Syndrome	MESH:D013901
http://purl.obolibrary.org/obo/MONDO_0005979	thoracic outlet syndrome	Thoracic Outlet Syndromes	MESH:D013901
http://purl.obolibrary.org/obo/MONDO_0005980	tick infestation	Tick Infestations	MESH:D013984
http://purl.obolibrary.org/obo/MONDO_0005981	tick paralysis	Tick Paralyses	MESH:D013985
http://purl.obolibrary.org/obo/MONDO_0005984	tinea pedis	Athlete Foot	MESH:D014008
http://purl.obolibrary.org/obo/MONDO_0005984	tinea pedis	Athletes Foot	MESH:D014008
http://purl.obolibrary.org/obo/MONDO_0005985	Togaviridae infectious disease	Togaviridae Disease	MESH:D014036
http://purl.obolibrary.org/obo/MONDO_0005985	Togaviridae infectious disease	Togaviridae Diseases	MESH:D014036
http://purl.obolibrary.org/obo/MONDO_0005985	Togaviridae infectious disease	Togaviridae Infection	MESH:D014036
http://purl.obolibrary.org/obo/MONDO_0005985	Togaviridae infectious disease	Togaviridae Infections	MESH:D014036
http://purl.obolibrary.org/obo/MONDO_0005985	Togaviridae infectious disease	Togavirus Infection	MESH:D014036
http://purl.obolibrary.org/obo/MONDO_0005985	Togaviridae infectious disease	Togavirus Infections	MESH:D014036
http://purl.obolibrary.org/obo/MONDO_0005986	torovirus infectious disease	Torovirus Infection	MESH:D018176
http://purl.obolibrary.org/obo/MONDO_0005986	torovirus infectious disease	Torovirus Infections	MESH:D018176
http://purl.obolibrary.org/obo/MONDO_0005987	toxascariasis	Toxascariases	MESH:D017227
http://purl.obolibrary.org/obo/MONDO_0005988	toxocariasis	Toxocariases	MESH:D014120
http://purl.obolibrary.org/obo/MONDO_0005989	toxoplasmosis	Toxoplasma gondii Infection	MESH:D014123
http://purl.obolibrary.org/obo/MONDO_0005990	tracheitis	Tracheitides	MESH:D014136
http://purl.obolibrary.org/obo/MONDO_0005991	trench fever	Bartonella quintana Infection	MESH:D014205
http://purl.obolibrary.org/obo/MONDO_0005991	trench fever	Bartonella quintana Infections	MESH:D014205
http://purl.obolibrary.org/obo/MONDO_0005993	Trichomonas vaginitis urogenital infection	Human Trichomoniases	MESH:D014247
http://purl.obolibrary.org/obo/MONDO_0005993	Trichomonas vaginitis urogenital infection	Human Trichomoniasis	MESH:D014247
http://purl.obolibrary.org/obo/MONDO_0005993	Trichomonas vaginitis urogenital infection	Trichomonas Vaginitides	MESH:D014247
http://purl.obolibrary.org/obo/MONDO_0005994	trichostrongyloidiasis	Trichostrongyloidiases	MESH:D014252
http://purl.obolibrary.org/obo/MONDO_0005995	trichostrongylosis	Trichostrongyloses	MESH:D014253
http://purl.obolibrary.org/obo/MONDO_0005996	trichuriasis	Trichocephaliases	MESH:D014257
http://purl.obolibrary.org/obo/MONDO_0005996	trichuriasis	Trichuriases	MESH:D014257
http://purl.obolibrary.org/obo/MONDO_0005996	trichuriasis	Trichuris Infection	MESH:D014257
http://purl.obolibrary.org/obo/MONDO_0005996	trichuriasis	Trichuris Infections	MESH:D014257
http://purl.obolibrary.org/obo/MONDO_0005996	trichuriasis	Trichuris trichiura Infection	MESH:D014257
http://purl.obolibrary.org/obo/MONDO_0005996	trichuriasis	Trichuris trichiura Infections	MESH:D014257
http://purl.obolibrary.org/obo/MONDO_0005996	trichuriasis	Whipworm Infections	MESH:D014257
http://purl.obolibrary.org/obo/MONDO_0005997	tricuspid valve stenosis	Tricuspid Valve Stenoses	MESH:D014264
http://purl.obolibrary.org/obo/MONDO_0005998	trombiculiasis	Trombiculiases	MESH:D014323
http://purl.obolibrary.org/obo/MONDO_0005999	tuberculous empyema	Tuberculous Empyemas	MESH:D004654
http://purl.obolibrary.org/obo/MONDO_0006001	urinary schistosomiasis	Schistosoma haematobia Infection	MESH:D012553
http://purl.obolibrary.org/obo/MONDO_0006001	urinary schistosomiasis	Schistosoma haematobia Infections	MESH:D012553
http://purl.obolibrary.org/obo/MONDO_0006001	urinary schistosomiasis	Schistosomiasis haematobia	MESH:D012553
http://purl.obolibrary.org/obo/MONDO_0006001	urinary schistosomiasis	Schistosomiasis haematobium	MESH:D012553
http://purl.obolibrary.org/obo/MONDO_0006002	urogenital tuberculosis	Urogenital Tuberculoses	MESH:D014401
http://purl.obolibrary.org/obo/MONDO_0006004	vasomotor rhinitis	Vasomotor Rhinitides	MESH:D012223
http://purl.obolibrary.org/obo/MONDO_0006005	Venezuelan equine encephalitis	Venezuelan Equine Encephalomyelitides	MESH:D004685
http://purl.obolibrary.org/obo/MONDO_0006005	Venezuelan equine encephalitis	Venezuelan Equine Encephalomyelitis	MESH:D004685
http://purl.obolibrary.org/obo/MONDO_0006006	verrucous carcinoma	Verrucous Carcinomas	MESH:D018289
http://purl.obolibrary.org/obo/MONDO_0006007	vesicoureteral reflux	Vesico Ureteral Reflux	MESH:D014718
http://purl.obolibrary.org/obo/MONDO_0006007	vesicoureteral reflux	Vesico-Ureteral Reflux	MESH:D014718
