Identifier (KEY)	Phenotype valueUri (THE KEY MAP TO THIS)	Phenotype value 	Description use in annotator 	How we found the mapping	Source
MESH:C531617	http://purl.obolibrary.org/obo/DOID_332	amyotrophic lateral sclerosis	Amyotrophic lateral sclerosis 1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C531622	http://purl.obolibrary.org/obo/DOID_2988	antiphospholipid syndrome	Familial antiphospholipid syndrome	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C531651	http://purl.obolibrary.org/obo/DOID_2580	rhizomelic chondrodysplasia punctata	Rhizomelic chondrodysplasia punctata, type 1		CTD
MESH:C535277	http://purl.obolibrary.org/obo/DOID_9562	primary ciliary dyskinesia	Primary ciliary dyskinesia, 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535278	http://purl.obolibrary.org/obo/DOID_9562	primary ciliary dyskinesia	Primary ciliary dyskinesia, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535279	http://purl.obolibrary.org/obo/DOID_9562	primary ciliary dyskinesia	Primary ciliary dyskinesia, 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535288	http://purl.obolibrary.org/obo/DOID_0050774	rapadilino syndrome	Rapadilino syndrome	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C535301	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 4E	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535302	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, X-linked recessive, 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535303	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, X-linked recessive, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535328	http://purl.obolibrary.org/obo/DOID_0060177	homocarnosinosis	Homocarnosinosis	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C535330	http://purl.obolibrary.org/obo/DOID_6691	Aagenaes syndrome	Aagenaes syndrome		CTD
MESH:C535334	http://purl.obolibrary.org/obo/DOID_0050600	ABCD syndrome	ABCD syndrome	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C535340	http://purl.obolibrary.org/obo/DOID_0050537	posterior polar cataract	Cataract, posterior polar, 5	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535341	http://purl.obolibrary.org/obo/HP_0010700	Total cataract	Cataract, total congenital	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C535342	http://purl.obolibrary.org/obo/HP_0010920	Zonular cataract	Cataract, zonular	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C535343	http://purl.obolibrary.org/obo/DOID_0050537	posterior polar cataract	Cataract, posterior polar, 3	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535344	http://purl.obolibrary.org/obo/DOID_0050537	posterior polar cataract	Cataract, posterior polar, 4	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535356	http://purl.obolibrary.org/obo/HP_0007810	Progressive bifocal chorioretinal atrophy	Chorioretinal atrophy, progressive bifocal	Case 6a: Found Exact With HP Annotator (keywords taken out)	CTD
MESH:C535380	http://purl.obolibrary.org/obo/DOID_0050646	distal arthrogryposis	Arthrogryposis multiplex congenita, distal, X-linked	Case 5a: Found Synonym With Disease Annotator Synonym (keywords taken out)	CTD
MESH:C535388	http://purl.obolibrary.org/obo/DOID_0050647	Arts syndrome	Arts syndrome	Case 4a: Found Exact With Disease Annotator	CTD
MESH:C535395	http://purl.obolibrary.org/obo/DOID_0050648	atelosteogenesis	Atelosteogenesis type 2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535396	http://purl.obolibrary.org/obo/DOID_0050648	atelosteogenesis	Atelosteogenesis, type 1		CTD
MESH:C535413	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 2F	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535414	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 2G	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535415	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 2H	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535416	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 2I	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535417	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 2J	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535418	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 2K	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535419	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 4A	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535420	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 4B1	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535421	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 4B2	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
MESH:C535423	http://purl.obolibrary.org/obo/DOID_10595	Charcot-Marie-Tooth disease	Charcot-Marie-Tooth disease, Type 4C	Case 4a: Found Exact With Disease Annotator (keywords taken out)	CTD
