# Expression data file generated by Gemma on 02/05/2009
# shortName=GSE59
# name=Human cancer cell lines
# Experiment details: http://chibi.ubc.ca/Gemma/expressionExperiment/showExpressionExperiment.html?id=452
# If you use this file for your research, please cite the Gemma web site: http://chibi.ubc.ca/Gemma
Probe	GeneSymbol	GeneName	GSE59_bioMaterial_68___K.562(CL7005)LEUKEMIA	GSE59_bioMaterial_67___HL.60(CL7008)LEUKEMIA	GSE59_bioMaterial_66___OVCAR.4(CL6002)OVARIAN	GSE59_bioMaterial_7___HCT.15_CL4015__COLON	GSE59_bioMaterial_6___HCC.2998(CL4002)COLON	GSE59_bioMaterial_3___COLO205_CL4010_COLON	GSE59_bioMaterial_2___SW.620_CL4009_COLON	GSE59_bioMaterial_1___HT.29___CL4001__COLON	GSE59_bioMaterial_5___KM12__CL4017_COLON	GSE59_bioMaterial_4___HCT.116_CL4003_COLON	GSE59_bioMaterial_8___ADR.RES_CL5002_UNKNOWN	GSE59_bioMaterial_11___K562A.repro	GSE59_bioMaterial_10___K562B.repro	GSE59_bioMaterial_14___SR_CL7019__LEUKEMIA	GSE59_bioMaterial_9___MOLT.4_CL7006_LEUKEMIA	GSE59_bioMaterial_12___CCRF.CEM_CL7003_LEUKEMIA	GSE59_bioMaterial_13___RPMI.8226_CL7010__LEUKEMIA	GSE59_bioMaterial_17___OVCAR.8_CL6005_OVARIAN	GSE59_bioMaterial_16___OVCAR.5_CL6003_OVARIAN	GSE59_bioMaterial_15___OVCAR.3_CL6001_OVARIAN	GSE59_bioMaterial_19___IGROV1_CL6010_OVARIAN	GSE59_bioMaterial_18___SK.OV.3_CL6011_OVARIAN	GSE59_bioMaterial_20___DU.145_CL11003_PROSTATE	GSE59_bioMaterial_21___SK.MEL.28_CL10008_MELANOMA	GSE59_bioMaterial_23___SK.MEL.5_CL10007_MELANOMA	GSE59_bioMaterial_27___SK.MEL.2_CL10005_MELANOMA	GSE59_bioMaterial_22___UACC.257CL10021_MELANOMA	GSE59_bioMaterial_24___MALME.3M_CL10002_MELANOMA	GSE59_bioMaterial_25___M.14_CL10014_MELANOMA	GSE59_bioMaterial_26___UACC.62_CL10020_MELANOMA	GSE59_bioMaterial_28___NCI.H23_CL1001__NSCLC	GSE59_bioMaterial_34___A549_CL1004__NSCLC	GSE59_bioMaterial_32___HOP.62_CL1026_NSCLC	GSE59_bioMaterial_36___NCI.H322_CL1017_NSCLC	GSE59_bioMaterial_33___NCI.H460_CL1021_NSCLC	GSE59_bioMaterial_31___NCI.H522_CL1003__NSCLC	GSE59_bioMaterial_29___EKVX__CL1008_NSCLC	GSE59_bioMaterial_35___HOP.92__CL1029_NSCLC	GSE59_bioMaterial_30___NCI.H226_CL1013__NSCLC	GSE59_bioMaterial_39___SF.295_CL12015_CNS	GSE59_bioMaterial_37___SNB.19_CL12002_CNS	GSE59_bioMaterial_38___SF.539__CL12016_CNS	GSE59_bioMaterial_41___U251_CL12009_CNS	GSE59_bioMaterial_40___SF.268__CL12014_CNS	GSE59_bioMaterial_48___BT.549_CL5013_BREAST	GSE59_bioMaterial_52___BreastTumor16XNCIreference	GSE59_bioMaterial_44___MDA.N_CL5012__BREAST	GSE59_bioMaterial_47___MCF7_CL5001__BREAST	GSE59_bioMaterial_49___BC2LymphNodeXNCIreference	GSE59_bioMaterial_53___MDA.MB.231_CL5005__BREAST	GSE59_bioMaterial_43___MCF7D.repro	GSE59_bioMaterial_42___BreastTumor2XNCIreference	GSE59_bioMaterial_51___MDA.MB.435_CL5011__BREAST	GSE59_bioMaterial_45___MCF7A.repro	GSE59_bioMaterial_46___T.47D__CL5014__BREAST	GSE59_bioMaterial_50___HS_578T_CL5006__BREAST	GSE59_bioMaterial_55___786.0__CL9018_RENAL	GSE59_bioMaterial_61___A498_CL9013_RENAL	GSE59_bioMaterial_57___RXF.393_CL9016__RENAL	GSE59_bioMaterial_58___UO.31_CL9004__RENAL	GSE59_bioMaterial_60___SNB.75_CL12005_RENAL	GSE59_bioMaterial_54___TK.10_CL9024_RENAL	GSE59_bioMaterial_62___SN12C_CL9008__RENAL	GSE59_bioMaterial_56___ACHN_CL9023_RENAL	GSE59_bioMaterial_59___CAKI.1(CL9015)RENAL	GSE59_bioMaterial_63___NormalBreast	GSE59_bioMaterial_64___LOXIMVI(CL10001)MELANOMA	GSE59_bioMaterial_65___PC.3(CL11001)PROSTATE
1.1			NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
10			NaN	NaN	NaN	-2.624	NaN	NaN	2.775	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.092	NaN	NaN	NaN	NaN	-2.618	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.447	NaN	NaN	1.598	NaN	NaN	NaN	NaN	NaN	NaN	
100	BC036928	hypothetical protein BC036928	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.052	NaN	NaN	NaN	NaN	NaN	NaN	2.972	NaN	NaN	NaN	2.41	0.23	NaN	NaN	NaN	NaN	NaN	NaN	1.305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.455	NaN	NaN	0.567	NaN	NaN	
1000	KIAA1302|ODZ4	|odz, odd Oz/ten-m homolog 4 (Drosophila)	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
1001	C9orf5	chromosome 9 open reading frame 5	-0.093	NaN	NaN	0.302	0.519	0.659	-0.281	NaN	0.222	NaN	0.162	NaN	NaN	0.035	0.553	0.413	NaN	0.689	0.76	0.321	NaN	NaN	1.366	0.619	0.269	NaN	NaN	NaN	NaN	0.473	0.896	NaN	0.55	1.021	NaN	0.054	NaN	1.158	0.756	NaN	NaN	NaN	NaN	0.953	0.743	NaN	NaN	NaN	NaN	1.475	NaN	NaN	NaN	NaN	0.727	NaN	0.881	NaN	0.393	0.97	1.051	1.282	NaN	0.64	0.349	NaN	NaN	0.564	
1002	G3BP1	GTPase activating protein (SH3 domain) binding protein 1	-0.259	0.733	-0.035	0.064	-0.177	0.195	0.022	-0.044	-0.272	-0.189	0.397	0.025	-0.377	-0.271	0.5	0.501	-0.122	0.312	0.235	0.54	-0.159	0.247	-0.112	-0.678	-0.115	-0.058	-0.474	-0.587	0.642	-0.956	-0.104	-0.185	-0.027	-0.077	-0.394	-0.089	-0.531	0.389	-0.118	0.176	0.589	-0.805	-0.499	-0.711	-0.355	0.68	-0.642	0.431	NaN	-1.177	0.541	-0.146	-0.902	0.301	-0.116	-0.591	-0.195	-0.032	-0.474	0.187	-0.257	-0.185	0.363	0.16	0.444	0.794	0.192	-0.401	
1003	NARG2|BRCC1	NMDA receptor regulated 2|	0.275	0.896	NaN	0.177	0.182	-0.032	0.131	NaN	-0.356	0.29	-0.687	0.804	NaN	-0.614	0.984	0.792	NaN	-0.703	0.503	NaN	0.333	NaN	-0.064	-0.894	-0.47	NaN	NaN	NaN	NaN	-1.021	0.23	0.643	-0.383	-0.185	NaN	-0.277	0.231	-0.823	0.109	NaN	0.273	-0.812	-0.211	-1.461	-0.967	0.432	-0.501	-0.76	NaN	NaN	-0.532	0.641	-0.739	-0.555	-0.147	NaN	-0.501	-0.329	-1.01	-0.574	NaN	-0.818	-2.801	-0.967	-0.901	NaN	NaN	0.413	
1004	MYBPC1|DKFZp451I083	myosin binding protein C, slow type|	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.2	NaN	NaN	
1005	CHST5|FLJ22167	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5|hypothetical protein FLJ22167	-1.122	NaN	0.956	NaN	NaN	NaN	0.166	NaN	NaN	NaN	0.334	NaN	NaN	NaN	NaN	NaN	NaN	0.904	0.701	NaN	NaN	NaN	0.45	-0.812	NaN	NaN	NaN	NaN	NaN	NaN	-0.401	NaN	1.057	NaN	NaN	1.288	NaN	-0.463	-0.083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.079	NaN	NaN	0.582	NaN	NaN	NaN	NaN	1.471	NaN	NaN	NaN	0.113	0.273	NaN	0.776	NaN	0.076	NaN	NaN	NaN	NaN	
1006	GDF10	growth differentiation factor 10	0.011	0.905	0.478	0.305	NaN	-0.23	0.0090	NaN	NaN	NaN	-0.015	NaN	NaN	0.221	0.674	NaN	NaN	NaN	0.329	NaN	NaN	NaN	0.158	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.539	NaN	NaN	NaN	NaN	0.133	NaN	NaN	0.135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.056	0.044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.586	NaN	
