# Expression data file generated by Gemma on 08/12/2024
# shortName=GSE2018
# name=Human Lung Transplant - BAL
# Experiment details: https://gemma.msl.ubc.ca/expressionExperiment/showExpressionExperiment.html?id=1
# If you use this file for your research, please cite: 
# Lim et al. (2021) Curation of over 10 000 transcriptomic studies to enable data reuse. 
# Database, baab006 (doi:10.1093/database/baab006). 
Probe	Sequence	GeneSymbol	GeneName	GemmaId	NCBIid	GSE2018_bioMaterial_34.GSM36456___BioAssayId=1Name=BAL_47c_A0B1	GSE2018_bioMaterial_29.GSM36451___BioAssayId=6Name=BAL_45a_A1B0	GSE2018_bioMaterial_15.GSM36437___BioAssayId=20Name=BAL_27a_A0B0	GSE2018_bioMaterial_4.GSM36426___BioAssayId=31Name=BAL_1_A0B0	GSE2018_bioMaterial_2.GSM36424___BioAssayId=33Name=BAL_15a_A0B1	GSE2018_bioMaterial_32.GSM36454___BioAssayId=3Name=BAL_47a_A0B0	GSE2018_bioMaterial_27.GSM36449___BioAssayId=8Name=BAL_44a_A0B0	GSE2018_bioMaterial_21.GSM36443___BioAssayId=14Name=BAL_39_A0B1	GSE2018_bioMaterial_20.GSM36442___BioAssayId=15Name=BAL_33_A0B1	GSE2018_bioMaterial_26.GSM36448___BioAssayId=9Name=BAL_43_A0B0	GSE2018_bioMaterial_6.GSM36428___BioAssayId=29Name=BAL_13_A0B0	GSE2018_bioMaterial_33.GSM36455___BioAssayId=2Name=BAL_47b_A0B1	GSE2018_bioMaterial_17.GSM36439___BioAssayId=18Name=BAL_29_A1B0	GSE2018_bioMaterial_13.GSM36435___BioAssayId=22Name=BAL_25_A0B0	GSE2018_bioMaterial_23.GSM36445___BioAssayId=12Name=BAL_40_A0B0	GSE2018_bioMaterial_28.GSM36450___BioAssayId=7Name=BAL_44b_A0B0	GSE2018_bioMaterial_24.GSM36446___BioAssayId=11Name=BAL_41_A1B0	GSE2018_bioMaterial_19.GSM36441___BioAssayId=16Name=BAL_31_A0B1	GSE2018_bioMaterial_25.GSM36447___BioAssayId=10Name=BAL_42_A0B0	GSE2018_bioMaterial_22.GSM36444___BioAssayId=13Name=BAL_4_A0B0	GSE2018_bioMaterial_18.GSM36440___BioAssayId=17Name=BAL_3_A1B0	GSE2018_bioMaterial_8.GSM36430___BioAssayId=27Name=BAL_18_A1B0	GSE2018_bioMaterial_7.GSM36429___BioAssayId=28Name=BAL_17_A0B0	GSE2018_bioMaterial_5.GSM36427___BioAssayId=30Name=BAL_12_A1B0	GSE2018_bioMaterial_3.GSM36425___BioAssayId=32Name=BAL_15b_A0B0	GSE2018_bioMaterial_12.GSM36434___BioAssayId=23Name=BAL_21_A0B0	GSE2018_bioMaterial_9.GSM36431___BioAssayId=26Name=BAL_19_A0B0	GSE2018_bioMaterial_10.GSM36432___BioAssayId=25Name=BAL_20a_A1B1	GSE2018_bioMaterial_11.GSM36433___BioAssayId=24Name=BAL_20b_A1B1	GSE2018_bioMaterial_1.GSM36423___BioAssayId=34Name=BAL_37_A1B1	GSE2018_bioMaterial_30.GSM36452___BioAssayId=5Name=BAL_45b_A2B0	GSE2018_bioMaterial_14.GSM36436___BioAssayId=21Name=BAL_26_A2B0	GSE2018_bioMaterial_31.GSM36453___BioAssayId=4Name=BAL_46_A2B0	GSE2018_bioMaterial_16.GSM36438___BioAssayId=19Name=BAL_27b_A2B1
1007_s_at	1007_s_at_collapsed	DDR1	discoidin domain receptor tyrosine kinase 1	16908	780	7.6721	7.4853	7.8763	7.4623	7.5819	7.757	7.7166	7.3643	7.4844	7.4546	7.5897	7.5602	7.8408	7.5234	7.6959	7.5389	7.8389	7.4757	7.8968	7.5597	7.6154	7.5057	7.362	7.5837	7.6584	7.6638	7.6282		7.6784	7.6151	7.7217	7.3875	7.7165	7.5376
1053_at	1053_at_collapsed	RFC2	replication factor C subunit 2	139878	5982	6.8924	6.7775	6.8416	7.0674	6.7558	6.5584	6.9086	6.8158	7.0474	6.902	6.8889	6.8371	6.5479	6.9205	6.7033	6.8723	6.5528	6.9175	6.6162	6.9416	6.8842	6.7586	6.9581	7.0007	6.7241	6.7385	6.808		6.688	6.7764	6.6493	6.9261	6.6655	6.8936
117_at	117_at_collapsed	HSPA7|HSPA6	heat shock protein family A (Hsp70) member 7 (pseudogene)|heat shock protein family A (Hsp70) member 6	73442|73420	3311|3310	7.5564	7.716	7.7334	7.8392	7.5988	7.8905	7.6796	7.4394	7.649	7.614	7.7068	7.813	7.8061	7.4471	7.4063	7.609	8.0923	7.5906	8.2502	7.6235	7.4748	7.7618	7.7964	7.5155	8.0925	7.5918	7.8906		7.8253	7.842	7.9382	8.0984	7.9372	7.7496
121_at	121_at_collapsed	PAX8	paired box 8	173107	7849	9.1023	9.2323	9.3388	9.1243	8.7984	9.0757	9.2588	8.9355	8.9928	9.1342	9.0008	9.0188	9.4695	8.9383	9.2632	8.8174	9.382	9.1201	9.0405	9.2566	8.9751	9.2959	8.8983	9.1463	9.0725	9.1553	9.1685		9.2515	9.0833	9.1434	8.8144	9.4814	8.9047
1255_g_at	1255_g_at_collapsed	GUCA1ANB-GUCA1A|GUCA1A	GUCA1ANB-GUCA1A readthrough|guanylate cyclase activator 1A	10402669|58787	118142757|2978	3.9816	4.0628	4.0015	4.1629	3.9986	3.9452	4.0291	4.0417	4.0483	3.9937	4.0622	4.136	4.0921	3.9627	4.0604	3.9806	4.1723	4.0626	4.1257	4.0568	3.8952	4.0721	4.0442	4.1134	3.9857	4.1046	4.0098		4.0499	4.0728	3.9763	4.0082	3.9185	4.0868
1294_at	1294_at_collapsed	UBA7	ubiquitin like modifier activating enzyme 7	165857	7318	8.0634	7.7508	7.7976	8.0921	8.0174	8.1656	7.8646	7.6888	7.9781	7.6962	8.0412	7.6834	8.1576	7.9031	8.0123	7.8788	8.0191	8.1302	8.0091	7.9073	8.0516	7.6454	7.9631	7.8502	8.0124	7.4931	7.9133		7.6496	7.9338	7.8689	7.7707	7.7935	7.9927
1316_at	1316_at_collapsed	THRA	thyroid hormone receptor alpha	160776	7067	5.8697	5.8707	5.9474	5.8711	5.8871	5.9525	5.8688	5.8748	5.8318	5.8107	5.832	5.8217	6.0814	5.8491	5.9301	5.809	6.0588	5.9611	6.0451	5.832	5.8675	5.9447	5.8611	5.8935	5.9666	6.0884	5.9402		5.8583	5.8739	5.8993	5.7998	5.6166	5.8443
1320_at	1320_at_collapsed	PTPN21	protein tyrosine phosphatase non-receptor type 21	227238	11099	5.0297	4.8054	4.861	5.031	4.9511	4.9027	5.2428	4.915	4.9608	4.9277	4.8071	4.8301	4.867	4.9947	4.9846	5.0406	4.9048	4.8506	4.8542	5.0097	4.9676	4.8883	4.9028	4.9867	4.886	4.9535	4.9498		4.7029	4.8417	4.8511	4.7326	4.643	4.8456
1405_i_at	1405_i_at_collapsed	CCL5	C-C motif chemokine ligand 5	147052	6352	5.6652	5.4639	5.9441	5.1073	5.9815	5.289	5.8388	5.1612	5.2728	4.9977	6.8063	5.6607	5.7446	5.2005	6.0187	4.9152	5.9225	6.1803	5.4989	6.6756	7.0798	5.0711	4.8886	5.6228	6.9047	6.324	6.1059		8.4984	8.3406	7.9811	6.91	6.7853	6.6306
1431_at	1431_at_collapsed	CYP2E1	cytochrome P450 family 2 subfamily E member 1	33104	1571	3.8388	3.8467	3.8965	3.8779	3.8262	3.8039	3.9421	3.8161	3.8997	3.8309	3.8176	3.8623	3.8059	3.9013	3.8035	3.7976	3.9332	3.813	3.86	3.8494	3.8293	3.8349	3.8547	3.8433	3.8946	3.943	3.8708		3.8047	3.8511	3.8599	3.8585	3.8295	3.7343
