# Expression data file generated by Gemma on 08/12/2024
# shortName=GSE2018
# name=Human Lung Transplant - BAL
# Experiment details: https://gemma.msl.ubc.ca/expressionExperiment/showExpressionExperiment.html?id=1
# If you use this file for your research, please cite: 
# Lim et al. (2021) Curation of over 10 000 transcriptomic studies to enable data reuse. 
# Database, baab006 (doi:10.1093/database/baab006). 
Probe	Sequence	GeneSymbol	GeneName	GemmaId	NCBIid	GSE2018_bioMaterial_34.GSM36456___BioAssayId=1Name=BAL_47c_A0B1	GSE2018_bioMaterial_29.GSM36451___BioAssayId=6Name=BAL_45a_A1B0	GSE2018_bioMaterial_15.GSM36437___BioAssayId=20Name=BAL_27a_A0B0	GSE2018_bioMaterial_4.GSM36426___BioAssayId=31Name=BAL_1_A0B0	GSE2018_bioMaterial_2.GSM36424___BioAssayId=33Name=BAL_15a_A0B1	GSE2018_bioMaterial_32.GSM36454___BioAssayId=3Name=BAL_47a_A0B0	GSE2018_bioMaterial_27.GSM36449___BioAssayId=8Name=BAL_44a_A0B0	GSE2018_bioMaterial_21.GSM36443___BioAssayId=14Name=BAL_39_A0B1	GSE2018_bioMaterial_20.GSM36442___BioAssayId=15Name=BAL_33_A0B1	GSE2018_bioMaterial_26.GSM36448___BioAssayId=9Name=BAL_43_A0B0	GSE2018_bioMaterial_6.GSM36428___BioAssayId=29Name=BAL_13_A0B0	GSE2018_bioMaterial_33.GSM36455___BioAssayId=2Name=BAL_47b_A0B1	GSE2018_bioMaterial_17.GSM36439___BioAssayId=18Name=BAL_29_A1B0	GSE2018_bioMaterial_13.GSM36435___BioAssayId=22Name=BAL_25_A0B0	GSE2018_bioMaterial_23.GSM36445___BioAssayId=12Name=BAL_40_A0B0	GSE2018_bioMaterial_28.GSM36450___BioAssayId=7Name=BAL_44b_A0B0	GSE2018_bioMaterial_24.GSM36446___BioAssayId=11Name=BAL_41_A1B0	GSE2018_bioMaterial_19.GSM36441___BioAssayId=16Name=BAL_31_A0B1	GSE2018_bioMaterial_25.GSM36447___BioAssayId=10Name=BAL_42_A0B0	GSE2018_bioMaterial_22.GSM36444___BioAssayId=13Name=BAL_4_A0B0	GSE2018_bioMaterial_18.GSM36440___BioAssayId=17Name=BAL_3_A1B0	GSE2018_bioMaterial_8.GSM36430___BioAssayId=27Name=BAL_18_A1B0	GSE2018_bioMaterial_7.GSM36429___BioAssayId=28Name=BAL_17_A0B0	GSE2018_bioMaterial_5.GSM36427___BioAssayId=30Name=BAL_12_A1B0	GSE2018_bioMaterial_3.GSM36425___BioAssayId=32Name=BAL_15b_A0B0	GSE2018_bioMaterial_12.GSM36434___BioAssayId=23Name=BAL_21_A0B0	GSE2018_bioMaterial_9.GSM36431___BioAssayId=26Name=BAL_19_A0B0	GSE2018_bioMaterial_10.GSM36432___BioAssayId=25Name=BAL_20a_A1B1	GSE2018_bioMaterial_11.GSM36433___BioAssayId=24Name=BAL_20b_A1B1	GSE2018_bioMaterial_1.GSM36423___BioAssayId=34Name=BAL_37_A1B1	GSE2018_bioMaterial_30.GSM36452___BioAssayId=5Name=BAL_45b_A2B0	GSE2018_bioMaterial_14.GSM36436___BioAssayId=21Name=BAL_26_A2B0	GSE2018_bioMaterial_31.GSM36453___BioAssayId=4Name=BAL_46_A2B0	GSE2018_bioMaterial_16.GSM36438___BioAssayId=19Name=BAL_27b_A2B1
1007_s_at	1007_s_at_collapsed	DDR1	discoidin domain receptor tyrosine kinase 1	16908	780	7.5836	7.5149	7.9426	7.5726	7.6895	7.747	7.5579	7.2625	7.4659	7.3409	7.7495	7.5836	7.822	7.6083	7.6108	7.6486	7.8301	7.4155	7.8598	7.5372	7.6389	7.3945	7.3296	7.6254	7.642	7.704	7.6074	8.1251	7.6831	7.5234	7.8507	7.3347	7.6171	7.6385
1053_at	1053_at_collapsed	RFC2	replication factor C subunit 2	139878	5982	6.9008	6.8009	6.9914	7.1967	6.9169	6.4509	6.8932	6.7594	7.1623	6.9441	6.8418	6.7719	6.4701	6.8874	6.744	6.8398	6.4207	6.8337	6.634	6.9803	6.9255	6.7607	7.015	7.082	6.8054	6.6631	6.7386	6.2169	6.6692	6.8769	6.6228	6.9671	6.5623	6.8402
117_at	117_at_collapsed	HSPA7|HSPA6	heat shock protein family A (Hsp70) member 7 (pseudogene)|heat shock protein family A (Hsp70) member 6	73442|73420	3311|3310	7.4346	7.7029	7.7987	7.9137	7.7466	7.807	7.4488	7.3236	7.6193	7.4809	7.7857	7.791	7.7153	7.481	7.3295	7.8339	8.2324	7.6392	8.6027	7.8209	7.6376	7.9457	8.148	7.5137	8.3775	7.3311	7.6101	8.9948	7.7385	7.7543	8.0032	8.1108	7.5221	7.5053
121_at	121_at_collapsed	PAX8	paired box 8	173107	7849	9.1509	9.428	9.3332	9.1608	8.8577	9.0129	9.0078	9.0458	9.0435	9.1961	8.9763	9.0637	9.556	8.9965	9.2378	8.8475	9.4043	9.0734	8.987	9.2315	9.023	9.2218	9.0111	9.163	8.9894	9.1115	9.0487	9.693	9.2713	9.1449	9.0412	8.8165	9.2399	8.9253
1255_g_at	1255_g_at_collapsed	GUCA1ANB-GUCA1A|GUCA1A	GUCA1ANB-GUCA1A readthrough|guanylate cyclase activator 1A	10402669|58787	118142757|2978	3.9748	3.9926	3.9962	4.1169	3.9788	3.945	4.0353	4.0047	3.9895	3.9749	3.9999	4.191	4.1986	3.9693	4.037	3.9649	4.2678	4.1094	4.1081	4.0075	3.8168	4.0413	3.9619	4.1162	3.9818	4.2462	4.0512	4.723	4.0472	4.0368	3.9148	3.957	4.0902	4.1647
1294_at	1294_at_collapsed	UBA7	ubiquitin like modifier activating enzyme 7	165857	7318	8.0512	7.8481	8.0362	8.2978	8.2437	8.1893	7.6526	7.6184	8.0514	7.6264	8.2552	7.676	8.1379	7.9863	8.0424	8.2834	8.2405	8.3477	8.0258	8.0478	8.2163	7.7458	8.188	7.9344	8.0258	6.727	7.2924	7.213	7.5449	7.8528	8.0715	7.9229	7.0863	7.5198
1316_at	1316_at_collapsed	THRA	thyroid hormone receptor alpha	160776	7067	5.8251	5.7495	5.8783	5.8014	5.8045	5.9517	5.93	5.8003	5.7543	5.7576	5.8004	5.8105	6.1751	5.813	5.9054	5.807	6.1431	6.0282	5.9885	5.7663	5.7778	5.8662	5.7441	5.9164	6.0428	6.4239	6.2033	6.5181	5.8785	5.8192	5.901	5.7307	5.7442	6.0342
1320_at	1320_at_collapsed	PTPN21	protein tyrosine phosphatase non-receptor type 21	227238	11099	5.0278	4.6977	4.8773	4.9623	4.8959	4.9385	5.601	4.9198	4.9711	4.9674	4.7135	4.78	4.888	4.9157	4.9604	4.9639	4.9033	4.8436	4.7897	4.871	4.8224	4.8035	4.7408	4.9627	4.9318	5.1471	5.1729	5.0119	4.7383	4.8618	4.7806	4.6818	4.8755	4.9758
1405_i_at	1405_i_at_collapsed	CCL5	C-C motif chemokine ligand 5	147052	6352	5.4452	5.1815	5.6907	5.0938	5.6752	5.121	5.8731	4.9235	5.0333	5.0179	8.4139	5.3691	5.516	4.9412	5.6315	4.758	5.8292	6.0614	5.5311	7.1939	7.8281	4.9137	4.5903	6.2115	7.8041	6.0074	5.7304	6.4826	8.7004	8.5726	9.3943	6.7638	5.9301	5.6076
1431_at	1431_at_collapsed	CYP2E1	cytochrome P450 family 2 subfamily E member 1	33104	1571	3.8357	3.7918	3.8725	3.8444	3.8142	3.8356	3.9912	3.7955	3.8791	3.8172	3.8016	3.8793	3.8674	3.8844	3.7936	3.7149	3.9306	3.7555	3.7919	3.7646	3.7422	3.7627	3.7409	3.8532	3.8988	4.1843	4.0179	4.1031	3.8357	3.8252	3.8331	3.7994	4.1635	3.7985
1438_at	1438_at_collapsed	EPHB3	EPH receptor B3	43254	2049	6.7774	6.5141	6.6158	6.5813	6.6212	6.8403	7.3128	6.6126	6.659	6.6867	6.5531	6.5593	6.9292	6.5632	6.6107	6.5833	6.6236	6.7196	6.4916	6.2833	6.6082	6.6347	6.3239	6.6174	6.7539	6.689	7.1478	7.0775	6.772	6.6523	6.5891	6.4019	6.9996	6.4729
