Pubmeds	Data Source	Gene NCBI	Gene Symbol	Taxon	Phenotype Names	Phenotype URIs		Web Link	Is Negative	Note	Curator	Mesh terms	Score
2137202	CTD	6010	Col1a2	rat	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Chromosomes, Human, Pair 3; Base Sequence; Electroretinography; Codon; Amino Acid Sequence; Adult; Rhodopsin; Retinitis Pigmentosa; Rod Opsins; Retinal Pigments; Photoreceptor Cells; Mutation; Pedigree; Humans; Molecular Sequence Data; Eye Proteins; 	3
2215617	CTD	6010	APC	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Rhodopsin; Base Sequence; Electroretinography; Codon; Humans; Genes, Dominant; Mutation; Molecular Sequence Data; Retinitis Pigmentosa; 	3
2215617	RGD	6010	MED12	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Rhodopsin; Base Sequence; Electroretinography; Codon; Humans; Genes, Dominant; Mutation; Molecular Sequence Data; Retinitis Pigmentosa; 	3
7479749	CTD	1259	COL1A1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Pedigree; Point Mutation; Molecular Sequence Data; Mutation; Male; Models, Structural; Macromolecular Substances; Repetitive Sequences, Nucleic Acid; Protein Structure, Secondary; Recombinant Proteins; Polymerase Chain Reaction; Retinal Rod Photoreceptor Cells; DNA Primers; Cyclic Nucleotide-Gated Cation Channels; Exons; Base Sequence; 3',5'-Cyclic-GMP Phosphodiesterases; Cyclic Nucleotide Phosphodiesterases, Type 6; Cell Line; Humans; Genes, Recessive; Introns; Female; Eye Proteins; Retinitis Pigmentosa; Rod Opsins; Transfection; Ion Channels; 	3
7493036	CTD	5145	DNM1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Male; Humans; 3',5'-Cyclic-GMP Phosphodiesterases; Adolescent; Adult; Amino Acid Sequence; Base Sequence; Retinal Rod Photoreceptor Cells; Point Mutation; Pedigree; Molecular Sequence Data; Middle Aged; Genetic Heterogeneity; Retinitis Pigmentosa; Genes, Recessive; Female; Eye Proteins; DNA Mutational Analysis; Cyclic Nucleotide Phosphodiesterases, Type 6; Chromosomes, Human, Pair 5; Child; 	3
8394174	CTD	5158	TLR4	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Retinal Degeneration; Retinal Dysplasia; Eye Proteins; Polymorphism, Genetic; Dog Diseases; Dogs; Electroretinography; DNA Mutational Analysis; DNA, Single-Stranded; Disease Models, Animal; Signal Transduction; Rhodopsin; Retinitis Pigmentosa; Nucleic Acid Conformation; Mutation; Phosphoric Diester Hydrolases; Pedigree; Photoreceptor Cells; Cyclic Nucleotide Phosphodiesterases, Type 6; Codon; Base Sequence; Animals; Amino Acid Sequence; 3',5'-Cyclic-GMP Phosphodiesterases; Female; Genes, Recessive; Humans; Male; Mice; Mice, Mutant Strains; Molecular Sequence Data; 	3
9005853	RGD	4653	GNA15	human	open-angle glaucoma	http://purl.obolibrary.org/obo/DOID_1067					Jenni/Nathan	Chromosomes, Artificial, Yeast; Chromosome Mapping; Cytoskeletal Proteins; Chromosomes, Human, Pair 1; Mutation; Pedigree; Base Sequence; Molecular Sequence Data; Glaucoma, Open-Angle; Haplotypes; Glycoproteins; Eye Proteins; Genetic Linkage; Female; Humans; Male; Sequence Tagged Sites; Polymorphism, Single-Stranded Conformational; Polymerase Chain Reaction; Trabecular Meshwork; 	2
9020854	CTD	6010	PLS1	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Male; Gene Targeting; Mice, Inbred C57BL; Mice; Mice, Transgenic; Mice, Knockout; Pigment Epithelium of Eye; Rod Cell Outer Segment; Age Factors; Electroretinography; Animals; Polymerase Chain Reaction; Retinitis Pigmentosa; Rhodopsin; 	1
9097971	RGD	1545	HMGB1	human	glaucoma	http://purl.obolibrary.org/obo/DOID_1686					Jenni/Nathan	Trabecular Meshwork; Sequence Deletion; Polymerase Chain Reaction; Pedigree; Mutation; Molecular Sequence Data; Male; Amino Acid Sequence; Aryl Hydrocarbon Hydroxylases; Chromosomes, Human, Pair 2; Chromosome Mapping; Cytochrome P-450 Enzyme System; Gene Expression; Female; Genetic Linkage; Genes, Recessive; Homozygote; Genetic Markers; Hydrophthalmos; Humans; 	3
9391065	CTD	6010	ZFAND3	human	retinitis pigmentosa	http://purl.obolibrary.org/obo/DOID_10584					Jenni/Nathan	Diterpenes; Rhodopsin; COS Cells; Point Mutation; Phosphorylation; Humans; Retinitis Pigmentosa; Genes, Dominant; Recombinant Proteins; Binding Sites; Retinaldehyde; Animals; 	0
