GeneSymbol	GeneId	PrimaryPubMed	EvidenceCode	Comments	IsNegative	ExternalDatabase	DatabaseLink	Phenotypes	ScoreType	Score	Strength
ABAT	18	15830322	TAS	Genetic Association ; Genetic association has been found between the ABAT gene and autism in an IMGSAC cohort (Barnby et al., 2005). ABAT is a positional candidate from a non-genome-wide significant linkage peak. There is a single study reporting association that does not pass Bonferroni correction.		SFARI	ABAT	autism spectrum disorder	SFARIGeneScore	4	0.4	
ADA	100	11354825	TAS	Genetic Association ; Several studies have found a genetic association between the ADA gene and autism. Positive associations have been found in Italian and North American population samples. There are multiple, but inconsistent, associations of the functional Asp8Asn SNP in 3 studies (all fewer than 150 families/cases; Persico et al., 2000 PMID: 11121182; Bottini et al., 2001 PMID: 11354825; Hettinger et al., 2008 PMID: 17340203), which places the gene in category 4. One early report of reduced enzymatic activity in sera from individuals with ASD boosts it to category 3.		SFARI	ADA	autism spectrum disorder	SFARIGeneScore	3	0.6	
ADA	100	11121182	TAS	Genetic Association ; Several studies have found a genetic association between the ADA gene and autism. Positive associations have been found in Italian and North American population samples. There are multiple, but inconsistent, associations of the functional Asp8Asn SNP in 3 studies (all fewer than 150 families/cases; Persico et al., 2000 PMID: 11121182; Bottini et al., 2001 PMID: 11354825; Hettinger et al., 2008 PMID: 17340203), which places the gene in category 4. One early report of reduced enzymatic activity in sera from individuals with ASD boosts it to category 3.		SFARI	ADA	autism spectrum disorder	SFARIGeneScore	3	0.6	
ADA	100	17340203	TAS	Genetic Association ; Several studies have found a genetic association between the ADA gene and autism. Positive associations have been found in Italian and North American population samples. There are multiple, but inconsistent, associations of the functional Asp8Asn SNP in 3 studies (all fewer than 150 families/cases; Persico et al., 2000 PMID: 11121182; Bottini et al., 2001 PMID: 11354825; Hettinger et al., 2008 PMID: 17340203), which places the gene in category 4. One early report of reduced enzymatic activity in sera from individuals with ASD boosts it to category 3.		SFARI	ADA	autism spectrum disorder	SFARIGeneScore	3	0.6	
ADARB1	104	23275889	TAS	Functional ; A dysfunctional isoform of ADARB1, which results from alternative skipping of the exon harboring two double-stranded RNA-binding domains, was found more frequently in postmortem cerebella from individuals with autism (Eran et al., 2012).  This suggests that A-to-I editing of synaptic genes by ADARB1 may be informative for assessing the epigenetic risk for ASD.		SFARI	ADARB1	autism spectrum disorder	
ADARB1	104	22869036	TAS	Functional ; A dysfunctional isoform of ADARB1, which results from alternative skipping of the exon harboring two double-stranded RNA-binding domains, was found more frequently in postmortem cerebella from individuals with autism (Eran et al., 2012).  This suggests that A-to-I editing of synaptic genes by ADARB1 may be informative for assessing the epigenetic risk for ASD.		SFARI	ADARB1	autism spectrum disorder	
ADCY5	111	23160955	TAS	Rare Single Gene Mutation ; De novo variants in this gene were identified in two separate reports using ASD probands from the Simons Simplex Collection (Sanders et al. 2012a, 2012b)		SFARI	ADCY5	autism spectrum disorder	
ADCY5	111	22495309	TAS	Rare Single Gene Mutation ; De novo variants in this gene were identified in two separate reports using ASD probands from the Simons Simplex Collection (Sanders et al. 2012a, 2012b)		SFARI	ADCY5	autism spectrum disorder	
ADK	132	21937992	TAS	Rare Single Gene Mutation ; A rare mutation in the ADK gene has been identified with ASD (Najmabadi et al., 2011).		SFARI	ADK	autism spectrum disorder	
ADNP	23394	23160955	TAS	Rare Single Gene Mutation ; De novo variants in this gene were identified in two separate reports using ASD probands from the Simons Simplex Collection (Sanders et al. 2012a, 2012b)		SFARI	ADNP	autism spectrum disorder	
ADNP	23394	22495309	TAS	Rare Single Gene Mutation ; De novo variants in this gene were identified in two separate reports using ASD probands from the Simons Simplex Collection (Sanders et al. 2012a, 2012b)		SFARI	ADNP	autism spectrum disorder	
ADORA2A	135	19565319	TAS	Syndromic ; Genetic association has been found between the ADORA2A gene and autism in a Caucasian sample (Freitag et al., 2010). There is one published gene-based association study that suggests ADORA2A may be involved in autism. In this study, Freitag and colleagues (2010) genotyped eight SNPs in 98 ASD patients and 234 controls. They found nominal association of 2 SNPS, but the study was not well powered and there has been no independent replication of this finding. 		SFARI	ADORA2A	autism spectrum disorder	SFARIGeneScore	4	0.4	
ADRB2	154	17199132	TAS	Genetic Association ; Studies have found genetic association between the ADRB2 gene and autism. Association was found in the AGRE cohort along with additional samples.  Gene from a significant but unreplicated association study (Cheslack-Postava K).		SFARI	ADRB2	autism spectrum disorder	SFARIGeneScore	4	0.4	
ADRB2	154	16417856	TAS	Genetic Association ; Studies have found genetic association between the ADRB2 gene and autism. Association was found in the AGRE cohort along with additional samples.  Gene from a significant but unreplicated association study (Cheslack-Postava K).		SFARI	ADRB2	autism spectrum disorder	SFARIGeneScore	4	0.4	
