GeneSymbol	GeneId	PrimaryPubMed	EvidenceCode	Comments	IsNegative	ExternalDatabase	DatabaseLink	Phenotypes
NR5A1	2516	19246354	TAS	DiseaseName: Gonadal Dysgenesis, 46,XX (MESH:D023961); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2516&diseaseAcc=MESH:D023961	46 XX gonadal dysgenesis
NR5A1	2516	10369247	TAS	DiseaseName: Gonadal Dysgenesis, 46,XY (MESH:D006061); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2516&diseaseAcc=MESH:D006061	46 XY gonadal dysgenesis
NR5A1	2516	11932325	TAS	DiseaseName: Gonadal Dysgenesis, 46,XY (MESH:D006061); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2516&diseaseAcc=MESH:D006061	46 XY gonadal dysgenesis
NR5A1	2516	15070943	TAS	DiseaseName: Gonadal Dysgenesis, 46,XY (MESH:D006061); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2516&diseaseAcc=MESH:D006061	46 XY gonadal dysgenesis
FGD1	2245	10930571	TAS	DiseaseName: Aarskog syndrome (MESH:C535331); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2245&diseaseAcc=MESH:C535331	Aarskog-Scott syndrome
FGD1	2245	11093277	TAS	DiseaseName: Aarskog syndrome (MESH:C535331); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2245&diseaseAcc=MESH:C535331	Aarskog-Scott syndrome
FGD1	2245	14560308	TAS	DiseaseName: Aarskog syndrome (MESH:C535331); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2245&diseaseAcc=MESH:C535331	Aarskog-Scott syndrome
FGD1	2245	15327482	TAS	DiseaseName: Aarskog syndrome (MESH:C535331); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2245&diseaseAcc=MESH:C535331	Aarskog-Scott syndrome
FGD1	2245	17152066	TAS	DiseaseName: Aarskog syndrome (MESH:C535331); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2245&diseaseAcc=MESH:C535331	Aarskog-Scott syndrome
FGD1	2245	7954831	TAS	DiseaseName: Aarskog syndrome (MESH:C535331); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=2245&diseaseAcc=MESH:C535331	Aarskog-Scott syndrome
AGT	183	16514081	TAS	DiseaseName: Aortic Aneurysm, Abdominal (MESH:D017544); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=183&diseaseAcc=MESH:D017544	abdominal aortic aneurysm
AGT	183	20937366	TAS	DiseaseName: Aortic Aneurysm, Abdominal (MESH:D017544); DirectEvidence: marker/mechanism		CTD	/detail.go?type=relationship&geneAcc=183&diseaseAcc=MESH:D017544	abdominal aortic aneurysm
