MESH:C535837	http://purl.obolibrary.org/obo/DOID_4905	pancreatic carcinoma	"Pancreatic carcinoma, familial"	
MESH:C536078	http://purl.obolibrary.org/obo/DOID_10908	hydrocephalus	"Hydrocephalus, X-linked"	
MESH:C536215	http://purl.obolibrary.org/obo/DOID_8778	Crohn's disease	Pediatric Crohn's disease	
MESH:C536277	http://purl.obolibrary.org/obo/DOID_0050700	cardiomyopathy	Idiopathic dilation cardiomyopathy	
MESH:C536597	http://purl.obolibrary.org/obo/DOID_10652	Alzheimer's disease	"Alzheimer disease, familial"	
MESH:C537243	http://purl.obolibrary.org/obo/DOID_10283	prostate cancer	"Prostate cancer, familial"	
MESH:C537250	http://purl.obolibrary.org/obo/DOID_0050120	hemophagocytic lymphohistiocytosis	"Hemophagocytic lymphohistiocytosis, familial, 2"	
MESH:C538001	http://purl.obolibrary.org/obo/DOID_543	dystonia	Dystonia 12	
MESH:C538098	http://purl.obolibrary.org/obo/DOID_5408	Paget's disease of bone	Familial Paget's disease of bone	
MESH:C538219	http://purl.obolibrary.org/obo/DOID_3507	dermatofibrosarcoma	Dermatofibrosarcoma protuberans	
MESH:C538250	http://purl.obolibrary.org/obo/DOID_10223	dermatomyositis	Amyopathic dermatomyositis	
MESH:C538445	http://purl.obolibrary.org/obo/DOID_4467	renal clear cell carcinoma	Clear-cell metastatic renal cell carcinoma	
MESH:D000312	http://purl.obolibrary.org/obo/DOID_4967	adrenal hyperplasia	"Adrenal Hyperplasia, Congenital"	
MESH:D000326	http://purl.obolibrary.org/obo/DOID_10588	adrenoleukodystrophy	Adrenoleukodystrophy	
MESH:D000753	http://purl.obolibrary.org/obo/DOID_2355	anemia	"Anemia, Refractory"	
MESH:D001169	http://purl.obolibrary.org/obo/DOID_848	arthritis	"Arthritis, Experimental"	
MESH:D001171	http://purl.obolibrary.org/obo/DOID_676	juvenile rheumatoid arthritis	"Arthritis, Juvenile Rheumatoid"	
MESH:D001250	http://purl.obolibrary.org/obo/DOID_9360	intrinsic asthma	"Asthma, Exercise-Induced"	
MESH:D001766	http://purl.obolibrary.org/obo/DOID_1432	blindness	Blindness	
MESH:D001990	http://purl.obolibrary.org/obo/DOID_2942	bronchiolitis	"Bronchiolitis, Viral"	
MESH:D002820	http://purl.obolibrary.org/obo/DOID_3590	gestational trophoblastic neoplasm	"Hydatidiform Mole, Invasive"	
MESH:D002821	http://purl.obolibrary.org/obo/DOID_0050697	chorioamnionitis	Chorioamnionitis	
MESH:D003921	http://purl.obolibrary.org/obo/DOID_9351	diabetes mellitus	"Diabetes Mellitus, Experimental"	
MESH:D004342	http://purl.obolibrary.org/obo/DOID_1205	hypersensitivity reaction type I disease	Drug Hypersensitivity	
MESH:D004444	http://purl.obolibrary.org/obo/DOID_1496	echinococcosis	"Echinococcosis, Hepatic"	
MESH:D004681	http://purl.obolibrary.org/obo/DOID_640	encephalomyelitis	"Encephalomyelitis, Autoimmune, Experimental"	
MESH:D004892	http://purl.obolibrary.org/obo/DOID_0050185	erythema multiforme	Erythema Multiforme	
